NAME;RECORD;NICKNAME;HEIGHT;WEIGHT;REACH;STANCE;DOB;SLpM;Str Acc;SApM;Str Def;TD Avg;TD Acc;TD Def;Sub Avg
Matheus Scheffel;14-7-0;Buffa;"6' 2""";205 lbs.;"75""";Orthodox;Nov 04, 1992;1.33;36 %;3.0;47 %;0.0;0 %;100 %;0.0
Antonio Schembri;5-5-0;Nino;"5' 9""";205 lbs.;--;Orthodox;Jun 01, 1974;0.72;26 %;2.12;55 %;1.31;40 %;0 %;0.4
Fabiano Scherner;11-10-0 (3 NC);Pegaleve;"6' 3""";257 lbs.;--;Orthodox;Jun 30, 1972;1.31;31 %;3.2;38 %;1.09;33 %;40 %;0.0
Samy Schiavo;10-6-0;;"5' 8""";155 lbs.;--;Orthodox;Dec 24, 1975;1.68;34 %;2.62;38 %;0.94;50 %;66 %;0.9
Pat Schilling;5-2-0;Thrilling;"5' 8""";145 lbs.;--;Orthodox;Aug 28, 1988;1.87;26 %;8.24;52 %;0.0;0 %;0 %;0.0
Joe Schilling;2-5-0;;"6' 3""";185 lbs.;--;;--;2.84;52 %;2.64;48 %;0.0;0 %;44 %;0.0
Semmy Schilt;26-14-1;Hightower;"6' 10""";265 lbs.;--;Orthodox;Oct 27, 1973;1.2;50 %;1.31;53 %;0.0;0 %;47 %;1.1
Adam Schindler;10-6-0;;"5' 8""";155 lbs.;--;;May 19, 1983;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Daniel Schmitt;2-3-0;;--;185 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Colleen Schneider;11-7-0;;--;135 lbs.;--;;Mar 12, 1982;2.17;48 %;2.5;50 %;2.5;50 %;60 %;0.0
Matt Schnell;17-9-0 (1 NC);Danger;"5' 8""";125 lbs.;"70""";Orthodox;Jan 15, 1990;4.13;40 %;4.17;55 %;0.49;40 %;43 %;1.2
Alex Schoenauer;15-10-0;;"6' 3""";185 lbs.;--;Orthodox;May 05, 1976;1.22;40 %;2.27;42 %;0.0;0 %;22 %;4.9
Bailey Schoenfelder;5-1-0;Berserk;"6' 3""";265 lbs.;"76""";Orthodox;Sep 22, 1997;0.0;0 %;9.86;53 %;0.0;0 %;0 %;0.0
Darrill Schoonover;14-8-0;The Boss;"6' 2""";220 lbs.;--;Orthodox;Jul 18, 1985;1.2;33 %;4.35;38 %;0.0;0 %;50 %;1.1
Bob Schrijber;20-17-1;Dirty;"6' 0""";240 lbs.;--;Orthodox;Mar 03, 1965;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Nate Schroeder;11-10-0;;"6' 1""";230 lbs.;--;;Jun 02, 1973;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Lacey Schuckman;11-10-0;;"5' 3""";125 lbs.;--;;Jul 16, 1988;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Mark Schultz;1-1-0;;"5' 9""";200 lbs.;--;Orthodox;Oct 26, 1960;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Wes Schultz;8-2-0;Party Time;"6' 2""";185 lbs.;"77""";Orthodox;Aug 09, 1996;5.39;46 %;4.74;48 %;5.57;40 %;0 %;1.4
Brian Schwartz;1-1-0;;"6' 3""";170 lbs.;--;Orthodox;--;1.27;44 %;0.87;45 %;0.0;0 %;50 %;1.0
Eric Schwartz;2-0-0;;--;205 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Justin Scoggins;11-5-0;;"5' 7""";125 lbs.;"66""";Southpaw;May 02, 1992;3.56;51 %;2.16;55 %;3.42;63 %;82 %;0.5
Brad Scott;11-6-0;Bear;"6' 1""";170 lbs.;"76""";Orthodox;Jun 24, 1989;3.52;41 %;4.31;57 %;0.32;15 %;63 %;0.7
Greg Scott;3-4-0;;"5' 9""";145 lbs.;--;;--;3.9;55 %;7.79;37 %;11.69;100 %;0 %;0.0
Louis Lee Scott;10-0-0;Lightning;"5' 8""";135 lbs.;"70""";Orthodox;Feb 26, 2000;5.35;58 %;0.81;71 %;2.43;66 %;100 %;0.0
Zachary Scroggin;7-1-0;;"6' 3""";170 lbs.;"74""";Orthodox;Mar 09, 1996;2.4;37 %;8.8;68 %;0.0;0 %;0 %;0.0
Mike Seal;13-15-1 (1 NC);Crazy Boy;"6' 4""";185 lbs.;--;Orthodox;Jul 30, 1977;5.5;68 %;3.33;50 %;0.0;0 %;33 %;0.0
Demba Seck;10-3-0;Black Tiger;"6' 1""";145 lbs.;"74""";Orthodox;Jul 07, 1993;1.5;40 %;5.25;22 %;0.0;0 %;60 %;0.0
Matt Secor;8-4-0;;"6' 0""";170 lbs.;--;;Sep 26, 1986;0.51;20 %;0.81;50 %;3.03;100 %;0 %;3.0
Kenneth Seegrist;4-7-0;;"6' 0""";185 lbs.;--;Orthodox;Oct 21, 1980;3.21;66 %;1.28;0 %;0.0;0 %;40 %;14.4
Neil Seery;16-13-0;2Tap;"5' 4""";125 lbs.;"64""";Orthodox;Aug 30, 1979;3.56;41 %;3.79;58 %;0.78;27 %;53 %;1.6
Rony Sefo;0-2-0;;"5' 9""";225 lbs.;--;Orthodox;Apr 10, 1972;0.0;0 %;0.43;0 %;0.0;0 %;0 %;0.0
Ray Sefo;2-2-0;Sugarfoot;"6' 0""";240 lbs.;--;Orthodox;Feb 15, 1971;0.86;31 %;1.71;72 %;0.0;0 %;66 %;0.0
Brendan Seguin;23-19-1;;"6' 0""";185 lbs.;--;;Jul 03, 1976;2.6;45 %;0.6;84 %;5.0;62 %;100 %;0.0
Tetsuya Seki;14-8-1;;"5' 10""";155 lbs.;--;;Feb 08, 1994;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Stefan Sekulic;12-4-0;;"6' 0""";170 lbs.;"75""";Southpaw;Feb 12, 1992;1.83;50 %;2.83;64 %;2.0;33 %;25 %;0.5
Pete Sell;10-7-0;Drago;"5' 11""";170 lbs.;"75""";Orthodox;Aug 05, 1982;2.6;42 %;3.65;51 %;0.91;21 %;47 %;0.9
Matthew Semelsberger;11-8-0;Semi The Jedi;"6' 1""";170 lbs.;"75""";Switch;Nov 23, 1992;3.77;42 %;4.24;54 %;1.01;57 %;45 %;0.4
Andrei Semenov;34-9-2;;"6' 0""";185 lbs.;--;Orthodox;Jun 17, 1977;0.78;15 %;2.44;60 %;1.74;80 %;55 %;0.4
Mackens Semerzier;8-4-0 (1 NC);Da Menace;"5' 9""";145 lbs.;"72""";Orthodox;Nov 03, 1980;2.91;45 %;3.48;46 %;2.14;50 %;50 %;2.1
Brandon Sene;2-2-0;;"5' 11""";205 lbs.;--;;May 21, 1981;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
YeDam Seo;7-4-0;;"5' 3""";115 lbs.;"63""";Orthodox;Mar 20, 1992;1.07;27 %;2.4;58 %;0.5;20 %;42 %;0.0
DongHyun Seo;7-3-1;Pinnacle;"5' 7""";145 lbs.;"67""";Orthodox;Aug 22, 1990;4.91;63 %;3.35;41 %;0.0;0 %;0 %;0.0
Kim In Seok;3-6-0;;"5' 6""";145 lbs.;--;Orthodox;Oct 10, 1980;0.87;37 %;5.19;60 %;0.0;0 %;0 %;0.0
Ray Seraille;8-9-0;;"6' 3""";246 lbs.;--;;Jun 23, 1979;5.29;27 %;17.65;41 %;0.0;0 %;0 %;0.0
Ivan Serati;12-4-0;;"6' 0""";205 lbs.;--;Orthodox;--;0.86;26 %;5.33;29 %;0.0;0 %;0 %;0.0
Alex Serdyukov;8-5-0;The Russian Crusher;"6' 2""";170 lbs.;"74""";Orthodox;May 24, 1980;4.94;48 %;3.1;46 %;1.84;55 %;67 %;1.8
Nicholas Sergiacomi;1-1-0;;--;170 lbs.;--;;--;4.38;55 %;3.94;59 %;0.0;0 %;0 %;0.0
Matt Serra;11-7-0;The Terra;"5' 6""";170 lbs.;"68""";Orthodox;Jun 02, 1974;1.98;39 %;2.64;46 %;2.05;20 %;38 %;0.9
Nick Serra;7-3-0;The Mad Monkey;"5' 9""";170 lbs.;--;Orthodox;Mar 27, 1978;0.0;0 %;1.73;43 %;1.0;10 %;0 %;2.0
Adrian Serrano;56-29-4;;"5' 8""";170 lbs.;--;;Dec 23, 1963;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Fredy Serrano;3-2-0;El Profe;"5' 3""";125 lbs.;"65""";Orthodox;Sep 22, 1979;1.58;26 %;1.89;61 %;2.84;25 %;84 %;0.0
Carl Seumanutafa;10-8-0;;"6' 1""";255 lbs.;--;Orthodox;Jun 15, 1983;0.0;0 %;3.33;75 %;0.0;0 %;0 %;0.0
Igor Severino;8-1-0;;"5' 7""";125 lbs.;"69""";Orthodox;Apr 21, 2003;7.17;52 %;4.33;47 %;9.69;71 %;50 %;0.0
Dan Severn;101-19-1;The Beast;"6' 2""";250 lbs.;--;Southpaw;Jun 08, 1958;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Rosi Sexton;13-5-0;The Surgeon;"5' 3""";135 lbs.;--;Orthodox;Jul 16, 1977;3.31;39 %;7.42;41 %;0.75;10 %;80 %;0.0
Rodrigo Sezinando;9-2-0;;"5' 9""";170 lbs.;"71""";Orthodox;Dec 11, 1997;2.25;27 %;8.76;42 %;3.37;25 %;66 %;0.0
Scott Shaffer;0-1-0;;"5' 7""";145 lbs.;--;Orthodox;--;2.4;67 %;0.53;50 %;0.0;0 %;72 %;3.0
Edmen Shahbazyan;16-5-0;The Golden Boy;"6' 2""";185 lbs.;"75""";Orthodox;Nov 20, 1997;3.8;48 %;3.6;49 %;1.62;37 %;66 %;0.4
Leon Shahbazyan;7-2-0;;"6' 4""";170 lbs.;"74""";Orthodox;Nov 18, 1995;6.33;52 %;8.18;32 %;1.46;50 %;0 %;0.0
Don Shainis;12-5-0;Shameless;"5' 6""";145 lbs.;"67""";Orthodox;Sep 16, 1990;3.42;50 %;5.87;31 %;0.97;25 %;20 %;1.9
Liliya Shakirova;8-2-0;;"5' 4""";125 lbs.;"65""";Orthodox;Oct 24, 1991;2.7;30 %;2.58;74 %;0.0;0 %;0 %;0.0
Kamal Shalorus;9-5-2;Prince of Persia;"5' 8""";155 lbs.;"68""";Orthodox;Aug 27, 1972;3.06;32 %;2.99;70 %;2.07;50 %;80 %;0.0
Ken Shamrock;28-17-2;The World's Most Dangerous Man;"6' 1""";205 lbs.;"72""";Orthodox;Feb 11, 1964;1.47;46 %;4.3;39 %;0.94;60 %;44 %;2.5
Frank Shamrock;23-10-2;;"5' 10""";185 lbs.;--;Orthodox;Dec 08, 1972;4.75;53 %;4.66;57 %;0.35;50 %;37 %;1.1
Shang Zhifa;32-8-0;Northeast Flying Tiger;"5' 7""";125 lbs.;"63""";Orthodox;Mar 15, 1986;1.27;32 %;1.27;60 %;2.0;100 %;0 %;0.0
Sean Sharaf;4-1-0;The Smoke;"6' 3""";252 lbs.;"77""";Orthodox;Jul 11, 1993;7.31;44 %;9.79;44 %;2.07;12 %;0 %;0.0
Priya Sharma;5-2-0;The Catwoman;"5' 1""";115 lbs.;"59""";Orthodox;Aug 29, 1991;1.33;16 %;3.2;40 %;0.0;0 %;55 %;0.0
Jason Sharp;3-3-0;;--;205 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Eric Shelton;12-6-0;Showtime;"5' 6""";125 lbs.;"68""";Orthodox;Feb 02, 1991;2.57;42 %;1.88;63 %;2.83;51 %;46 %;0.2
Sean Sherk;36-4-1;The Muscle Shark;"5' 6""";155 lbs.;"67""";Orthodox;Aug 05, 1973;2.17;35 %;2.71;55 %;4.09;46 %;56 %;0.4
Chase Sherman;16-12-0;The Vanilla Gorilla;"6' 4""";250 lbs.;"78""";Orthodox;Nov 16, 1989;6.04;45 %;6.65;52 %;0.09;50 %;74 %;0.0
Valentina Shevchenko;25-4-1;Bullet;"5' 5""";125 lbs.;"66""";Southpaw;Mar 07, 1988;3.14;52 %;2.06;63 %;2.62;60 %;75 %;0.3
Antonina Shevchenko;10-4-0;La Pantera;"5' 8""";125 lbs.;"67""";Southpaw;Nov 20, 1984;3.86;55 %;2.93;52 %;0.43;42 %;53 %;0.4
Shi Ming;17-6-0;;"5' 2""";115 lbs.;"60""";Orthodox;Nov 14, 1994;3.12;36 %;2.92;53 %;0.81;30 %;57 %;0.0
Katsuyori Shibata;4-11-1;;"6' 0""";168 lbs.;--;Orthodox;Nov 17, 1979;2.06;35 %;2.4;53 %;0.49;50 %;53 %;0.7
Jake Shields;31-9-1 (1 NC);;"6' 0""";170 lbs.;"72""";Orthodox;Jan 09, 1979;2.45;36 %;1.8;56 %;2.83;29 %;35 %;1.2
Henrique Shiguemoto;13-4-1;;"5' 11""";185 lbs.;"72""";Orthodox;Jun 22, 1989;3.6;33 %;6.0;16 %;0.0;0 %;50 %;0.0
Shunichi Shimizu;30-18-11 (1 NC);;"5' 5""";135 lbs.;--;Orthodox;Jan 31, 1985;0.14;33 %;4.68;30 %;0.0;0 %;0 %;0.0
Wade Shipp;11-5-0;The Nightmare;"6' 3""";245 lbs.;--;Orthodox;Feb 09, 1975;4.29;86 %;2.14;0 %;0.0;0 %;75 %;0.0
Raja Shippen;18-11-1;;"5' 6""";145 lbs.;--;;Oct 07, 1986;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Yuya Shirai;26-14-2;;"5' 8""";168 lbs.;--;Orthodox;Apr 02, 1980;1.02;100 %;4.07;55 %;0.0;0 %;0 %;0.0
Wes Shivers;7-1-0;;"6' 8""";--;--;;Mar 08, 1977;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Alexander Shlemenko;56-9-0 (1 NC);Storm;"5' 11""";185 lbs.;--;;May 20, 1984;4.36;60 %;1.71;63 %;0.0;0 %;0 %;0.0
Josh Shockley;11-4-0;;"6' 1""";155 lbs.;--;Orthodox;Nov 15, 1989;1.4;33 %;1.75;60 %;0.0;0 %;61 %;0.8
Josh Shockman;6-3-0;The War Hammer;"6' 4""";235 lbs.;--;Southpaw;Dec 29, 1980;0.87;32 %;0.87;58 %;0.0;0 %;23 %;0.0
Akira Shoji;14-17-5;;"5' 8""";195 lbs.;--;Orthodox;Jan 31, 1974;1.03;34 %;2.63;53 %;1.79;73 %;82 %;0.4
Liudvik Sholinian;9-4-1;Palmeyros;"5' 10""";135 lbs.;"71""";Orthodox;Jan 20, 1990;2.5;30 %;5.67;55 %;0.0;0 %;66 %;0.0
Jack Shore;17-3-0;Tank;"5' 8""";145 lbs.;"71""";Orthodox;Feb 06, 1995;3.6;58 %;2.31;56 %;3.22;39 %;74 %;0.6
Landon Showalter;11-19-1;The Show;"6' 0""";185 lbs.;--;;Jun 14, 1976;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Ivan Shtyrkov;15-0-1;Ural Hulk;"6' 0""";205 lbs.;"74""";Orthodox;Jun 09, 1988;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Brandon Shuey;7-6-0;Big Dawg;"5' 7""";155 lbs.;--;Orthodox;Feb 01, 1976;0.68;33 %;1.36;0 %;0.0;0 %;0 %;10.2
Ronal Siahaan;7-1-0;Naga Sakti;"5' 7""";125 lbs.;"71""";Southpaw;May 05, 1996;0.63;66 %;6.17;25 %;0.0;0 %;25 %;0.0
Sam Sicilia;15-8-0;;"5' 8""";145 lbs.;"67""";Orthodox;Feb 01, 1986;2.46;33 %;3.55;59 %;1.45;43 %;70 %;0.9
Kiril Sidelnikov;11-4-0;;"5' 11""";230 lbs.;--;;Aug 17, 1988;2.87;28 %;4.48;61 %;0.0;0 %;0 %;0.0
Serhiy Sidey;12-2-0;;"5' 11""";135 lbs.;"72""";Switch;Jul 04, 1996;4.49;39 %;4.26;54 %;1.58;25 %;20 %;1.3
Steven Siler;29-16-0;Super;"5' 11""";145 lbs.;"70""";Orthodox;Feb 15, 1987;3.21;41 %;2.96;54 %;0.47;21 %;55 %;1.6
Siala Siliga;12-5-0;Mighty Mo;"6' 1""";290 lbs.;--;Orthodox;Oct 08, 1970;1.08;26 %;1.96;50 %;1.47;50 %;80 %;0.0
Xavier Siller;5-5-0;Young Guns;"5' 5""";125 lbs.;--;;Jun 06, 1994;1.02;36 %;1.53;57 %;3.83;100 %;0 %;0.0
Assuerio Silva;16-8-0 (1 NC);;"5' 10""";241 lbs.;--;Orthodox;Jun 18, 1974;1.42;46 %;4.2;54 %;2.66;34 %;25 %;1.8
Anderson Silva;34-11-0 (1 NC);The Spider;"6' 2""";185 lbs.;"77""";Southpaw;Apr 14, 1975;3.05;61 %;2.05;60 %;0.5;77 %;69 %;0.8
Wanderlei Silva;35-13-1 (1 NC);The Axe Murderer;"5' 11""";205 lbs.;"74""";Orthodox;Jul 03, 1976;2.79;40 %;2.19;60 %;0.97;53 %;62 %;0.6
Thiago Silva;19-6-0 (2 NC);;"6' 2""";205 lbs.;"74""";Orthodox;Nov 12, 1982;3.92;50 %;2.55;67 %;1.03;47 %;70 %;0.7
Paulo Cesar Silva;2-6-0;Giant;"7' 5""";385 lbs.;--;Orthodox;Jul 21, 1963;0.4;15 %;2.72;47 %;0.42;100 %;16 %;0.4
Jean Silva;19-12-3 (1 NC);White Bear;"5' 6""";160 lbs.;--;Orthodox;Oct 08, 1977;0.73;22 %;2.93;52 %;0.0;0 %;0 %;0.0
Edson Silva;14-12-0 (1 NC);Paredao;--;205 lbs.;--;Orthodox;--;2.69;14 %;5.37;50 %;0.0;0 %;0 %;0.0
Sidney Silva;8-4-0;;"6' 3""";170 lbs.;--;Southpaw;Feb 27, 1972;2.86;65 %;3.3;34 %;3.3;100 %;0 %;0.0
Jay Silva;10-11-1;;"6' 2""";185 lbs.;--;Southpaw;May 25, 1981;1.13;34 %;3.07;40 %;0.0;0 %;38 %;1.0
Antonio Silva;19-12-1;Bigfoot;"6' 4""";264 lbs.;"82""";Orthodox;Sep 14, 1979;2.89;45 %;3.09;50 %;0.82;29 %;66 %;0.8
Fabio Silva;1-8-0;;"5' 11""";205 lbs.;--;Orthodox;Mar 31, 1982;0.09;11 %;5.9;38 %;0.0;0 %;0 %;0.0
Erick Silva;19-9-0 (1 NC);;"6' 0""";170 lbs.;"74""";Orthodox;Jun 21, 1984;2.5;48 %;4.18;49 %;0.85;35 %;56 %;1.4
Leandro Silva;20-6-1 (1 NC);Buscape;"5' 9""";155 lbs.;"72""";Orthodox;Nov 11, 1985;2.39;48 %;2.08;63 %;1.76;37 %;65 %;0.4
Claudio Silva;14-4-0;Hannibal;"5' 11""";170 lbs.;"71""";Southpaw;Sep 06, 1982;2.48;42 %;3.0;46 %;2.85;26 %;44 %;1.1
Wagner Silva;6-3-0;Wagnao;"6' 0""";170 lbs.;--;Orthodox;Feb 07, 1987;1.69;29 %;2.87;65 %;0.0;0 %;58 %;0.0
Rafael Silva;28-6-0;Morcego;"5' 7""";135 lbs.;--;;Mar 20, 1985;0.67;50 %;0.73;67 %;0.0;0 %;25 %;1.0
Joaquim Silva;14-6-0;Netto BJJ;"5' 8""";155 lbs.;"69""";Southpaw;Feb 05, 1989;3.43;43 %;4.17;53 %;0.34;50 %;70 %;0.8
Felipe Silva;8-2-0;;"6' 0""";155 lbs.;"77""";Orthodox;May 08, 1984;5.4;50 %;1.8;59 %;1.0;100 %;71 %;0.0
Dayana Silva;7-4-0;;"5' 7""";135 lbs.;--;Orthodox;Aug 27, 1990;6.33;51 %;5.93;57 %;0.0;0 %;42 %;0.0
Bruno Silva;15-7-2 (1 NC);Bulldog;"5' 4""";125 lbs.;"65""";Orthodox;Mar 16, 1990;3.82;50 %;4.55;52 %;2.3;29 %;63 %;0.3
Bruno Silva;23-13-0;Blindado;"6' 0""";185 lbs.;"74""";Orthodox;Jul 13, 1989;3.86;48 %;5.35;41 %;0.77;22 %;74 %;0.0
Gabriel Silva;8-2-0;;"5' 6""";135 lbs.;"71""";Orthodox;Aug 26, 1994;1.3;34 %;3.47;45 %;1.5;25 %;38 %;0.5
Jacob Silva;6-4-0;Lil Animal;"5' 5""";125 lbs.;"67""";Orthodox;Feb 23, 1988;4.17;44 %;4.92;56 %;1.51;100 %;66 %;0.0
Natalia Silva;19-5-1;;"5' 4""";125 lbs.;"65""";Southpaw;Feb 03, 1997;5.04;46 %;2.46;65 %;0.34;25 %;92 %;0.0
Jansey Silva;7-2-0;Jones;"6' 2""";185 lbs.;"67""";Orthodox;May 30, 1995;0.46;40 %;2.32;33 %;0.0;0 %;0 %;0.0
Maria Silva;8-1-0;Viuva Negra;"5' 3""";115 lbs.;"64""";Orthodox;Dec 19, 1995;3.0;57 %;1.13;62 %;2.0;100 %;55 %;0.5
Karine Silva;19-5-0;Killer;"5' 5""";125 lbs.;"67""";Orthodox;Dec 02, 1993;2.73;38 %;2.89;51 %;2.37;47 %;11 %;1.9
Erik Silva;9-3-0;The King;"5' 9""";145 lbs.;"71""";Orthodox;Mar 16, 1987;2.07;70 %;1.57;40 %;3.76;80 %;62 %;0.0
Janaina Silva;5-1-0;Jana-Iron-Hand;"5' 1""";115 lbs.;"60""";Orthodox;Feb 16, 1992;0.0;0 %;1.5;62 %;0.0;0 %;0 %;0.0
Jhonata Silva;8-2-0;;"5' 5""";125 lbs.;"66""";Orthodox;Apr 24, 1997;4.86;52 %;9.85;44 %;0.0;0 %;0 %;0.0
Jean Silva;16-3-0;Lord;"5' 7""";145 lbs.;"69""";Orthodox;Dec 27, 1996;4.79;51 %;4.69;54 %;0.5;50 %;78 %;0.8
Danny Silva;10-2-0;El Puma;"5' 11""";145 lbs.;"70""";Switch;Jan 30, 1997;6.67;55 %;7.47;61 %;2.0;33 %;81 %;0.2
Frank Silva;7-1-0;De Black;--;125 lbs.;--;;Aug 25, 2004;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Samuel Silva;13-5-1;Caveira;"6' 0""";155 lbs.;"72""";Orthodox;Jan 02, 1996;2.58;27 %;8.61;37 %;0.0;0 %;0 %;0.0
Douglas Silva de Andrade;29-6-0 (1 NC);D Silva;"5' 7""";135 lbs.;"68""";Orthodox;Jun 22, 1985;3.54;38 %;3.93;57 %;0.55;42 %;72 %;0.2
Leonardo Silva de Oliveira;12-4-0;Cabecao;"6' 2""";185 lbs.;--;Orthodox;Apr 23, 1992;1.07;40 %;0.54;50 %;24.11;50 %;0 %;0.0
Marcus Silveira;6-4-0 (1 NC);Conan;"6' 3""";242 lbs.;--;Orthodox;Dec 09, 1964;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Elias Silverio;13-3-0;Xuxu;"5' 11""";155 lbs.;"73""";Orthodox;Sep 22, 1986;3.67;49 %;2.97;51 %;1.62;38 %;85 %;0.2
Sim Kai Xiong;7-2-0;Kobra;"5' 6""";135 lbs.;"67""";Orthodox;Sep 06, 1997;2.85;42 %;3.64;55 %;3.49;25 %;100 %;0.0
Jamey Simmons;7-4-0;The Afro Samurai;"5' 6""";135 lbs.;"70""";Orthodox;Sep 11, 1992;0.79;21 %;1.92;74 %;0.0;0 %;50 %;0.0
Ricky Simon;22-6-0;;"5' 6""";135 lbs.;"69""";Orthodox;Aug 31, 1992;2.93;44 %;3.72;61 %;5.01;43 %;75 %;0.3
Aaron Simpson;12-5-0;A-Train;"6' 0""";170 lbs.;"73""";Orthodox;Jul 20, 1974;3.6;52 %;2.53;56 %;3.78;34 %;83 %;0.5
Wes Sims;24-14-1 (2 NC);The Project;"6' 10""";260 lbs.;--;Orthodox;Aug 04, 1979;0.98;51 %;2.95;37 %;0.0;0 %;40 %;2.3
Marlon Sims;3-4-0;;--;170 lbs.;--;;Jan 18, 1974;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Tony Sims;12-4-0;;"5' 11""";155 lbs.;"70""";Southpaw;Oct 14, 1985;1.81;63 %;0.76;65 %;0.71;50 %;50 %;0.7
Everett Sims;4-1-0;Sexual Chocolate;"6' 5""";260 lbs.;"77""";Southpaw;Sep 04, 1988;0.81;66 %;2.19;30 %;0.0;0 %;42 %;1.2
Lodune Sincaid;15-9-0;;"5' 9""";185 lbs.;--;Orthodox;May 07, 1973;2.72;42 %;6.17;57 %;0.0;0 %;75 %;0.0
Rob Sinclair;13-5-0;;"5' 8""";155 lbs.;--;;Feb 20, 1980;1.2;33 %;1.73;73 %;0.0;0 %;50 %;0.0
Rory Singer;11-9-0;Outburst;"6' 2""";185 lbs.;"77""";Orthodox;May 28, 1976;2.55;39 %;2.42;63 %;0.39;25 %;64 %;0.8
Rana Rudra Pratap Singh;11-2-0;Ashwathama;"5' 10""";135 lbs.;"69""";Orthodox;May 09, 1997;0.0;0 %;9.05;27 %;0.0;0 %;0 %;0.0
Kiran Singh;7-4-0;Stubborn;"5' 1""";115 lbs.;"65""";Orthodox;Jul 25, 2000;0.0;0 %;19.51;23 %;0.0;0 %;0 %;0.0
Elvis Sinosic;7-11-2;The King of Rock n' Rumble;"6' 3""";205 lbs.;"77""";Orthodox;Feb 13, 1971;1.13;37 %;4.6;53 %;0.0;0 %;0 %;1.2
Mitchell Sipe;4-1-0;No Dice;"6' 2""";245 lbs.;--;Orthodox;Apr 09, 1996;5.5;56 %;9.98;46 %;1.53;20 %;0 %;0.0
Gian Siqueira;19-5-0;Pitbull;"6' 1""";170 lbs.;"74""";Orthodox;Jun 23, 1994;0.8;100 %;3.41;19 %;0.0;0 %;0 %;0.0
Jeremia Siregar;6-3-0;The Teacher;"5' 2""";125 lbs.;"63""";Orthodox;Jul 27, 1991;2.8;42 %;7.37;29 %;0.0;0 %;75 %;0.0
AJ Siscoe;1-2-0;Let's Go;"5' 7""";135 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Yokthai Sithoar;0-1-0;;"5' 7""";143 lbs.;--;;Dec 25, 1974;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Jeri Sitzes;3-1-0;;"5' 5""";125 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Dennis Siver;23-11-0 (1 NC);;"5' 6""";145 lbs.;"70""";Orthodox;Jan 13, 1979;3.87;32 %;2.67;65 %;0.87;32 %;65 %;0.3
Chas Skelly;19-3-0 (1 NC);The Scrapper;"5' 11""";145 lbs.;"72""";Orthodox;May 11, 1985;2.01;40 %;3.21;49 %;1.74;34 %;39 %;2.3
Matt Skelton;0-1-0;;"6' 3""";265 lbs.;--;Orthodox;Jan 23, 1967;0.0;0 %;0.54;0 %;0.0;0 %;66 %;0.0
Zach Skinner;10-11-0;;"5' 6""";145 lbs.;--;Orthodox;--;0.53;50 %;2.4;32 %;5.0;27 %;100 %;1.0
Brian Sleeman;9-9-1;;"5' 8""";185 lbs.;--;;--;4.0;48 %;1.85;70 %;9.23;100 %;100 %;0.0
Joe Slick;16-5-3;;"6' 0""";199 lbs.;--;Orthodox;Oct 17, 1977;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Ray Sloan;8-1-0;;"6' 1""";205 lbs.;--;;Jul 14, 1985;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Kestutis Smirnovas;24-8-2;;"5' 10""";200 lbs.;--;Orthodox;Apr 08, 1976;4.95;52 %;5.05;54 %;1.55;50 %;100 %;1.6
Maurice Smith;12-14-0;;"6' 2""";221 lbs.;--;Orthodox;Dec 13, 1961;0.41;46 %;0.47;60 %;0.89;50 %;20 %;0.9
Patrick Smith;20-17-0;;"6' 2""";225 lbs.;--;Orthodox;Aug 28, 1963;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Scott Smith;18-11-0 (1 NC);Hands of Steel;"6' 0""";185 lbs.;"70""";Orthodox;May 21, 1979;1.9;27 %;5.87;50 %;0.12;6 %;58 %;0.5
Eric Smith;1-1-0;;--;--;--;Southpaw;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
